ExpID,Target,OutlierMethod,OutlierCount,Scaling,Model,Params,KFold,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Notes
1,CO,Z-Score on target (|z|>3.0),161,StandardScaler,LinearRegression,default,5,0.5253615196212911,0.03637103826757431,1.1192587548939978,0.2888402806602534,0.22936894803830987,0.026551172024472446,0.7446672988796952,0.09367233023797991,Baseline OLS
2,CO,Z-Score on target (|z|>3.0),161,StandardScaler,HuberRegressor,default,5,0.5174995463372298,0.03773642137143975,1.1201604639345193,0.2917552295472302,0.2241176108439366,0.02721557944920391,0.7441353397508562,0.09471587727084903,Robust to outliers
3,CO,Z-Score on target (|z|>3.0) + AddOutlier(n=600) + Stress(y*5),752,StandardScaler,LinearRegression,default,5,4.021275435243944,0.18803343321800384,7.8250004390856915,1.1076573827173732,1.0018102545161809,0.049800172731473816,0.42399388979910435,0.08811569483953834,Baseline OLS + Outlier Stress
4,CO,Z-Score on target (|z|>3.0) + AddOutlier(n=600) + Stress(y*5),752,StandardScaler,HuberRegressor,default,5,2.5593511388143075,0.16537942523040328,9.46267858789329,0.9736424251795882,0.2923978878146728,0.030217889717880208,0.15930030487216487,0.0323943462009247,Huber + Outlier Stress
